fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_type,wine_type_encoded,alcohol+level
0.14006433883924274,2.115348779676192,-2.164515281109809,-0.6996994145429313,0.5238803295408451,-1.069272434097559,-1.4111430880742628,1.1009955923516042,1.7793035689719825,0.17794070085585612,-0.9691519876973707,-0.9044972765915378,red,0,low
0.4431987533319016,3.1852969589348783,-2.164515281109809,-0.5441354637278293,1.1207357152067703,-0.2829045161357106,-0.8298387552986338,0.763753208058093,-0.15379707460840408,0.9793894339331691,-0.6318330805694778,-0.9044972765915378,red,0,low
0.4431987533319016,2.471998172762421,-1.892671814245529,-0.6108057283628731,0.9579569736615179,-0.8445958861084595,-1.058837431846609,0.8312016849167877,0.22035143705231391,0.7790272506638407,-0.6318330805694778,-0.9044972765915378,red,0,low
3.0198412765195055,-0.38119697192740787,1.641293254990111,-0.6996994145429313,0.496750539283303,-0.7322576121139097,-0.9531457349783127,1.1684440692102989,-0.40322941571555126,0.3115154897020743,-0.6318330805694778,0.23226755011930156,red,0,low
0.14006433883924274,1.8775825176187066,-2.164515281109809,-0.7219228360879458,0.496750539283303,-0.9569341601030094,-1.3054513912059666,1.1009955923516042,1.7793035689719825,0.17794070085585612,-0.9691519876973707,-0.9044972765915378,red,0,low
0.5189823569550669,1.5209331245324778,-1.756750080813389,-0.7663696791779749,0.33397179773805086,-0.8445958861084595,-0.9707610177896954,0.628856254340666,0.4697837781594611,-0.4899332433752383,-0.9691519876973707,-0.9044972765915378,red,0,low
0.06428073521607751,1.8181409521043352,-2.164515281109809,-0.8552633653580332,0.22545263670788257,-0.8445958861084595,-1.6401417646222378,0.021819962612375978,1.0310065456505437,-0.4231458489521292,-0.46317362700553216,1.369032376830141,red,0,low
0.4431987533319016,1.4020499935037347,-2.028593547677669,-0.6774759929979167,0.4424909587682188,-1.1816107080921088,-1.692987613056386,0.763753208058093,0.8439322898201819,0.24472809527896486,-0.8848222609153978,1.369032376830141,red,0,low
0.2158479424624073,0.9265174693887636,0.28207592066871073,0.23368429034768032,0.38823137825313464,-0.7322576121139097,-0.21330385690023942,1.1009955923516042,0.7815742045433964,1.780838167010482,-0.04152499309566651,-0.9044972765915378,red,0,medium
-0.3904208865229112,1.4020499935037347,-1.6208283473812488,-0.7219228360879458,1.0936059249492283,-0.8445958861084595,-0.8650693209213992,0.4602350621939292,0.3450676076058875,0.044365912009637166,-1.1378114412613178,-0.9044972765915378,red,0,low
